                             DANGER NOODLE                                    
  ##################################################################          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                   ############                               ##          
  ##                     ##      ##                               ##          
  ##                             ##                               ##          
  ##                             ##                               ##          
  ##                             ##                               ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##                                                              ##          
  ##################################################################          
                                                                              
